epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,14067.5,0.88601,1.11828,0.73012,0.00516,0.47339,0.7849,0.74021,0.77128,0.56165,0.77699,0.73699,0.76761,0.54784,0.84615,0.98766,0.71158,0.00857,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,14254.3,0.89183,1.11603,0.73751,0.00518,0.48807,0.79065,0.73952,0.77392,0.5608,0.76424,0.7426,0.76637,0.54694,0.84361,0.98923,0.70786,0.00855,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,14443.3,0.88453,1.11028,0.7237,0.00515,0.47348,0.77505,0.74887,0.77308,0.56041,0.76179,0.74862,0.76735,0.54744,0.84372,0.99078,0.70706,0.00854,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,14630.8,0.87589,1.09701,0.71446,0.00509,0.45811,0.79059,0.74381,0.77471,0.56146,0.78311,0.74045,0.7695,0.54737,0.84338,0.99127,0.70674,0.00853,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14821.1,0.87996,1.10379,0.71314,0.00513,0.46168,0.80655,0.74347,0.78042,0.56335,0.79568,0.7376,0.77011,0.54827,0.84265,0.98888,0.71102,0.00853,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,15007.8,0.87097,1.09549,0.70282,0.00504,0.45468,0.80537,0.74727,0.78147,0.56424,0.79289,0.74252,0.77238,0.54973,0.84152,0.99048,0.71026,0.00852,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,15199,0.87013,1.09283,0.70538,0.00503,0.45197,0.79741,0.74882,0.78012,0.56408,0.78704,0.74303,0.77247,0.54971,0.84158,0.99276,0.71216,0.00853,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,15387.7,0.85864,1.0794,0.69626,0.00502,0.44617,0.79458,0.74533,0.77919,0.56361,0.77933,0.74401,0.77144,0.5491,0.84172,0.99503,0.71409,0.00854,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,15579.4,0.85967,1.07982,0.68825,0.005,0.44408,0.79694,0.7451,0.77722,0.56407,0.78911,0.74119,0.77254,0.54917,0.83687,0.99609,0.71767,0.00847,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,15767.8,0.85632,1.08117,0.68803,0.00496,0.44059,0.80027,0.74575,0.77835,0.56442,0.79052,0.74369,0.77421,0.55083,0.84093,0.99724,0.71003,0.00852,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15957.7,0.85733,1.07728,0.69173,0.00492,0.44683,0.80169,0.73943,0.77877,0.56511,0.79253,0.73793,0.77506,0.55073,0.84365,0.99747,0.70222,0.00856,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16145.6,0.85741,1.08077,0.67965,0.00492,0.4407,0.79882,0.74289,0.78,0.56596,0.77983,0.75363,0.77763,0.5511,0.8426,0.99714,0.70498,0.00851,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,16336.9,0.84963,1.07253,0.67254,0.00491,0.43024,0.79354,0.74421,0.77895,0.56602,0.78135,0.75215,0.77646,0.55086,0.84215,0.9981,0.70771,0.00851,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,16524.6,0.84001,1.0644,0.66749,0.00485,0.42332,0.79017,0.74993,0.77944,0.56655,0.77869,0.75047,0.77721,0.55081,0.84229,0.9985,0.7041,0.00853,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,16713.9,0.84989,1.06887,0.67031,0.00484,0.42726,0.78697,0.75265,0.7796,0.56636,0.77957,0.74956,0.77614,0.55019,0.84252,0.99882,0.69916,0.00854,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,16901.6,0.84036,1.0589,0.66144,0.00481,0.4209,0.77958,0.75129,0.77661,0.56371,0.77134,0.74921,0.77199,0.54774,0.84219,0.99907,0.70173,0.00854,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,17092.1,0.83889,1.05952,0.6559,0.00482,0.41737,0.79582,0.74432,0.77717,0.56363,0.77622,0.74761,0.77257,0.5481,0.84279,0.99927,0.70208,0.00855,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,17291.5,0.81021,1.01789,0.57934,0.00656,0.27952,0.79695,0.74304,0.77859,0.56516,0.78434,0.74226,0.77274,0.54897,0.84346,0.99959,0.70053,0.00856,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17474.5,0.80822,1.01131,0.57083,0.00655,0.27285,0.7996,0.7434,0.77846,0.56465,0.78959,0.74063,0.77274,0.54855,0.84365,0.99979,0.70023,0.00855,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,17658.1,0.80285,1.00799,0.56346,0.00645,0.26713,0.79743,0.73798,0.77859,0.56433,0.7877,0.74167,0.77314,0.54913,0.84337,1.00036,0.69809,0.00854,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,17840.6,0.79645,0.99905,0.55364,0.00635,0.26396,0.79424,0.74373,0.77809,0.56513,0.78273,0.73979,0.77296,0.54965,0.84289,1.0008,0.69847,0.00853,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18026.9,0.7893,0.99231,0.54804,0.00626,0.25893,0.80707,0.73947,0.77795,0.56549,0.78198,0.74147,0.77238,0.54976,0.84259,1.00142,0.69809,0.00853,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,18209.9,0.78214,0.98453,0.53573,0.00621,0.2557,0.79932,0.74067,0.77835,0.56589,0.78446,0.73807,0.77333,0.55028,0.84198,1.00169,0.70002,0.00852,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
